달러-원,코스피,S&P 500,상해종합,비트코인,국고채권(3년),CD(91일물),UST2Y,DXY ,USDJPY,EURUSD,USDTWD,USDCNH
1187.3,2921.92,4662.85,3521.26,53854000,2.044,1.43,0.99,95.161,113.725,1.14774,27.6285,6.3538
1187.5,2962.09,4659.03,3555.26,56023000,1.953,1.35,0.91,94.882,114.616,1.14415,27.64,6.3664
1190.5,2972.48,4726.35,3597.43,56641000,1.998,1.31,0.92,94.936,115.305,1.13739,27.654,6.37067
1194.7,2927.38,4713.07,3567.44,57531000,2.038,1.3,0.9,95.624,115.229,1.13405,27.739,6.3794
1199.1,2926.72,4670.29,3593.52,57915000,2.058,1.3,0.92,95.963,115.816,1.1329,27.691,6.37964
1201.5,2954.89,4677.03,3579.54,56784000,2.015,1.3,0.87,95.734,115.935,1.13022,27.693,6.38498
1201,2920.53,4696.05,3586.08,57200000,2.013,1.3,0.88,96.283,115.85,1.13022,27.682,6.38156
1196.9,2953.97,4700.58,3595.18,57089000,1.913,1.3,0.83,96.192,116.03,1.12965,27.628,6.37427
1194.1,2989.24,4793.54,3632.33,58274000,1.868,1.3,0.77,96.286,115.795,1.12948,27.561,6.3785
1191.8,2988.77,4796.56,3639.78,61508000,1.855,1.3,0.78,96.227,115.359,1.13412,27.622,6.3593
1191.8,2977.65,4766.18,3619.19,61467000,1.798,1.29,0.73,95.649,115.14,1.13115,27.756,6.3727
1188.8,2993.29,4778.73,3597,61177000,1.799,1.29,0.73,96.024,115.15,1.13199,27.709,6.3688
1186.5,3020.24,4793.06,3630.11,61939000,1.783,1.28,0.75,95.907,114.889,1.13052,27.6665,6.37261
1188,2999.55,4786.35,3615.97,61490000,1.786,1.28,0.74,96.141,114.885,1.1326,27.637,6.37429
1186.8,3012.43,4791.19,3618.05,59753000,1.776,1.28,0.76,96.067,114.469,1.1315,27.68,6.3751
1186.6,2998.17,4725.79,3643.34,60023000,1.798,1.27,0.71,96.113,114.406,1.13285,27.7318,6.3749
1187.9,2984.48,4696.56,3622.62,58011000,1.805,1.27,0.68,96.005,114.24,1.13347,27.749,6.376
1192,2975.03,4649.23,3625.13,58329000,1.757,1.27,0.7,96.023,114.144,1.12739,27.867,6.3775
1192.9,2963,4568.02,3593.6,58402000,1.72,1.27,0.65,96.475,113.725,1.12795,27.861,6.3772
1190.8,3017.73,4620.64,3632.36,58086000,1.74,1.27,0.66,96.507,113.461,1.12525,27.886,6.38804
1180.9,3006.41,4668.67,3675.02,59817000,1.767,1.27,0.64,96.684,113.499,1.1341,27.787,6.37793
1183.9,2989.39,4709.85,3647.63,61198000,1.766,1.27,0.69,95.97,114.2,1.12895,27.8233,6.3735
1185.2,2987.95,4634.09,3661.53,59930000,1.808,1.27,0.67,96.377,113.711,1.12707,27.8068,6.37116
1182.6,3001.66,4668.97,3681.08,58626000,1.784,1.27,0.66,96.586,113.584,1.12809,27.796,6.36894
1180.8,3010.23,4712.02,3666.35,62049000,1.79,1.27,0.67,96.372,113.543,1.12906,27.797,6.3657
1181.3,3029.57,4667.45,3673.04,61427000,1.805,1.27,0.7,96.046,113.521,1.12979,27.7305,6.3677
1174.5,3001.8,4701.21,3637.57,59683000,1.794,1.27,0.68,96.213,113.613,1.1333,27.732,6.3419
1175.9,2991.72,4686.75,3595.09,59425000,1.831,1.27,0.7,95.902,113.531,1.1291,27.785,6.3523
1179.5,2973.25,4591.67,3589.31,62217000,1.872,1.27,0.65,96.308,113.728,1.12948,27.787,6.3698
1183,2968.33,4538.43,3607.43,63204000,1.865,1.27,0.6,96.299,113.027,1.12833,27.721,6.3727
1180.1,2945.27,4577.1,3573.84,62626000,1.9,1.27,0.63,96.148,113.24,1.12971,27.761,6.3697
